,x,depth
0,100000.0,1749.6297705877391
1,98989.89898989898,2239.279212043362
2,97979.79797979798,2699.3206479839
3,96969.69696969696,3130.810703776474
4,95959.59595959596,3534.702887710527
5,94949.49494949494,3911.813802732365
6,93939.39393939394,4262.780016579412
7,92929.29292929292,4588.005883624249
8,91919.19191919192,4887.604462344672
9,90909.0909090909,5161.336302804891
10,89898.9898989899,5408.554184226648
11,88888.88888888889,5628.165522372279
12,87878.78787878787,5818.627512703308
13,86868.68686868687,5977.992221567319
14,85858.58585858585,6104.018691486344
15,84848.48484848485,6194.365606342666
16,83838.38383838383,6246.870388798601
17,82828.28282828283,6259.9086406586475
18,81818.18181818181,6232.812405237859
19,80808.0808080808,6166.308769198062
20,79797.97979797979,6062.924813934411
21,78787.87878787878,5927.294509817685
22,77777.77777777777,5766.3014113007175
23,76767.67676767676,5589.000606253068
24,75757.57575757576,5406.285113000627
25,74747.47474747474,5230.294147804447
26,73737.37373737374,5073.599143636942
27,72727.27272727272,4948.241732403691
28,71717.17171717172,4864.728790710466
29,70707.0707070707,4831.106369517331
30,69696.9696969697,4852.232358191677
31,68686.86868686868,4929.34599460598
32,67676.76767676767,5059.993696173212
33,66666.66666666666,5238.321555729732
34,65656.56565656565,5455.6938727995275
35,64646.46464646464,5701.553325253756
36,63636.36363636363,5964.409326462644
37,62626.26262626262,6232.831145636901
38,61616.16161616161,6496.331984441818
39,60606.0606060606,6746.056141526766
40,59595.95959595959,6975.217632731144
41,58585.85858585858,7179.277889900134
42,57575.757575757576,7355.885529271296
43,56565.656565656565,7504.627464245468
44,55555.555555555555,7626.655121395229
45,54545.454545454544,7724.252081921035
46,53535.35353535353,7800.402127246584
47,52525.25252525252,7858.402743991952
48,51515.15151515151,7901.552356707908
49,50505.0505050505,7932.923216906674
50,49494.94949494949,7955.218367862581
51,48484.84848484848,7970.701684699151
52,47474.74747474747,7981.184872911935
53,46464.64646464646,7988.053932879266
54,45454.54545454545,7992.318963251115
55,44444.444444444445,7994.674164735185
56,43434.343434343435,7995.5585199571715
57,42424.242424242424,7995.211120664069
58,41414.14141414141,7993.718038371694
59,40404.0404040404,7991.049797522888
60,39393.93939393939,7987.0899133684725
61,38383.83838383838,7981.655718175319
62,37373.73737373737,7974.512985757594
63,36363.63636363636,7965.38584290642
64,35353.53535353535,7953.963266930429
65,34343.43434343434,7939.903213042039
66,33333.33333333333,7922.835158336178
67,32323.23232323232,7902.36162496165
68,31313.13131313131,7878.05906682806
69,30303.0303030303,7849.478371880147
70,29292.92929292929,7816.145139119365
71,28282.828282828283,7777.559827450679
72,27272.727272727272,7733.197833634535
73,26262.62626262626,7682.509532093759
74,25252.52525252525,7624.9202947421845
75,24242.42424242424,7559.830500622287
76,23232.32323232323,7486.61554047732
77,22222.222222222223,7404.625818868931
78,21212.121212121212,7313.186755134931
79,20202.0202020202,7211.598783812393
80,19191.91919191919,7099.137354820241
81,18181.81818181818,6975.052933536248
82,17171.71717171717,6838.571000828762
83,16161.61616161616,6688.892053069486
84,15151.51515151515,6525.191602138501
85,14141.414141414141,6346.620175426211
86,13131.31313131313,6152.303315834066
87,12121.21212121212,5941.341581774831
88,11111.111111111111,5712.810547172684
89,10101.0101010101,5465.760801463249
90,9090.90909090909,5199.217949593606
91,8080.80808080808,4912.1826120222995
92,7070.707070707071,4603.630424719335
93,6060.60606060606,4272.512039166185
94,5050.50505050505,3917.753122355776
95,4040.40404040404,3538.2543567925095
96,3030.30303030303,3132.8914404922425
97,2020.20202020202,2700.515086982299
98,1010.10101010101,2239.9510253014687
99,0.0,1749.999999999999
